subject,object,provided_by,predicate,api_name,api_id
MaterialSample,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysiologicalProcess,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
RNAProduct,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellLine,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cell,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Transcript,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cohort,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MicroRNA,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinDomain,NamedThing,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
RNAProduct,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinDomain,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cell,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysiologicalProcess,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Transcript,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MicroRNA,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cohort,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellLine,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,Disease,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cohort,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
